date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Apr 19 2020 16:14:55 GMT-0400 (Eastern Daylight Time), Software Engineer,"New York, NY",Current Employee ,Good place to work,I have been working at Citadel full-time for more than 5 years,0,"Smart and helpful colleagues. Management with vision and determination. Fast-paced environment that allows you to see the impact of work very quickly and being recognized and rewarded for it. Lots of learning opportunities and responsibilities, even at the junior levels. Catered food. Company has been more engaging with both employees and the community over the years through regular town halls and after-hour events. The responses to COVID-19, both in the US and abroad, have been swift and supportive. Lots of testing, planning and provision of resources made WFH much easier and more productive.","A few things that are more of a culture issue in the finance industry that can turn software engineers off: somewhat long hours, a bit hard to raise a family (company policy has improved but still lagging behind some competitors), opaque and unbalanced compensation scheme.",,5.0,3.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu May 07 2020 07:48:19 GMT-0400 (Eastern Daylight Time), Software Engineer,"New York, NY",Former Employee ,"Competitive culture, fast paced, well managed",I worked at Citadel full-time for more than 5 years,0,"well managed, free food and good benefits",time demanding and sometimes highly stressful,,4.0,2.0,2.0,4.0,4.0,3.0,Recommends,Positive Outlook,
Wed Apr 15 2020 13:20:10 GMT-0400 (Eastern Daylight Time), Software Engineer,"Chicago, IL",Former Employee ,Fast paced and pretty cutthroat,I worked at Citadel full-time,2,Pay is well above average,Tech isn't as advanced as advertised. Top down management style. Work life balance blows. Management doesn't care about this at all.,,3.0,2.0,2.0,5.0,1.0,,,,
Sun Mar 01 2020 10:06:04 GMT-0500 (Eastern Standard Time), Software Engineer,"New York, NY",Former Employee ,Good,I worked at Citadel full-time for more than a year,0,"work life balance, and good pay",the location of office isn't the best for me,,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 18 2020 15:08:26 GMT-0500 (Eastern Standard Time), Recruiting Assistant,"Chicago, IL",Former Employee ,Nice Company,I worked at Citadel full-time for less than a year,1,Effective company that gets the work done.,Cut throat environment. High turn over in recruiting.,,3.0,2.0,3.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Dec 28 2019 14:55:31 GMT-0500 (Eastern Standard Time), Financial Analyst,,Former Employee ,Interview,I worked at Citadel full-time,3,everyone is nice and very friendly.,work on holidays and not enough hours,,3.0,,,,,,,,
Sat Dec 21 2019 18:59:46 GMT-0500 (Eastern Standard Time), Administrative,,Former Employee ,Exactly what you would think,I worked at Citadel full-time,2,The benefits are better than anywhere else,The people and culture are horrible,,2.0,,,,,,,,
Mon Dec 02 2019 00:42:55 GMT-0500 (Eastern Standard Time), Site Reliability Engineer Manager,"New York, NY",Current Employee ,It's the Special Forces of finance,I have been working at Citadel full-time for more than a year,2,"- You are trusted and expected to tackle problems and provide solutions as you see fit. In other words, you are provided with a lot of ""agency"" to make decisions about your job. - Compared to other firms I've worked for, if you want to volunteer for a new role, responsibility or project, you are actively encouraged to and rewarded for doing so. There is no ""sorry, that's not your job"". - The management here is top notch and know both the technology and the business intimately. They consistently make good decisions that take into account what's best for the people, technology and business needs. - Many firms claim they are SRE but in reality are just making developers do support work. Citadel truly believes in the SRE model and actively makes every effort to streamline the process of creating applications and supporting them in the right way.","- Some people are not comfortable with the level of agency provided. They prefer to be told what to do and don't want a lot of freedom. - You are responsible for your career track here which, while I see as a positive, some may see as a negative","We're glad that you're able to build your career at Citadel based on our commitment to giving elite colleagues the freedom to innovate. We will continue to champion a culture where we continually earn the trust of colleagues like yourself and our capital partners. Thank you for your thoughtful review. Feel free to send any other feedback to me, Jonathan Blank (jonathan.blank@citadel.com), and I'll make sure it gets to the appropriate people.",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 03 2019 05:11:38 GMT-0500 (Eastern Standard Time), Recruiting Coordinator,"New York, NY",Former Employee ,Great place with brilliant people,I worked at Citadel full-time for more than 3 years,0,"-Everyone is brilliant
-Cutting edge technology","-Turnover
-Contractors are not treated the same as full time employees",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Dec 01 2019 07:56:54 GMT-0500 (Eastern Standard Time), Software Engineer,,Former Employee ,"In general, good place for your experience",I worked at Citadel full-time for more than 3 years,4,"Highest concentration of smart people to learn from Free breakfast, lunch and dinner (if you stay late) Good compensation level and benefits If they let you go - they compensate","401k vested only after 3 years They usually let people go extremely quick There are no institutional systems really - it all depends on your boss (learning, career advancement, travel, work evaluation etc), if you fall out of favor and was doing a great job - nothing can protect you. Lots of brainwashing from management about ""company goals"".",,4.0,4.0,2.0,2.0,5.0,3.0,Recommends,Positive Outlook,No opinion of CEO
