date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 23 2020 19:01:02 GMT-0500 (Eastern Standard Time), Engineering,"Chicago, IL",Current Employee ,Breath of Fresh Air,I have been working at Chicago Trading Company full-time for more than a year,0,"I've never worked at a place that's 25 years old that has this level of innovation, focus on new initiatives, investment in the space, the people, their careers, and their growth. - Great meal programs - Benefits and perks of a big company - Flexibility and freedom of a small company - Incredible work/life balance.","Too many meetings, YMMV.",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 08 2020 16:29:51 GMT-0500 (Eastern Standard Time), Trader,"Chicago, IL",Current Employee ,fast growing company,I have been working at Chicago Trading Company full-time for more than a year,0,"free lunch, health club reimbursement",communication can be better across different areas of the firm,,4.0,4.0,5.0,4.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 21 2020 11:01:45 GMT-0500 (Eastern Standard Time), Software Engineer Apprentice,"Chicago, IL",Current Employee ,Best place I’ve ever worked,I have been working at Chicago Trading Company full-time for less than a year,0,Great compensation Great people Free food Challenging environment,I’ll tell you when I find one.,,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Dec 26 2019 12:27:58 GMT-0500 (Eastern Standard Time), Quantitative Trader,"Chicago, IL",Current Employee ,Great place to work with great people,I have been working at Chicago Trading Company full-time for more than 3 years,0,Collaborative work environment where the vast majority of people are easily approachable and want to help. Genuinely good people that have fun working together on challenging problems. Good work-life balance.,Some roles require the ability to perform in high pressure situations.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Dec 04 2019 14:51:17 GMT-0500 (Eastern Standard Time),,, ,Great company,I have been working at Chicago Trading Company,0,"Meritocracy, great compensation, very healthy work life balance, a lot of very smart and creative people who enjoy working in teams, awesome place to learn.","Challenging problems, trading can be a grind.",,5.0,,,,,,,,
Thu Nov 21 2019 15:33:30 GMT-0500 (Eastern Standard Time), Quantitative Trader,"Chicago, IL",Current Employee ,"Challenging, engaging environment with great sense of work life balance",I have been working at Chicago Trading Company full-time for more than 10 years,1,Culture that encourages communication across disciplines Team-based approach that encourages employees to learn from one another Work life balance and keeping employees happy and empowered is at the core of the culture,The trading industry moves quickly and can be demanding at times. Not for everybody,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Oct 08 2019 23:06:05 GMT-0400 (Eastern Daylight Time), Software Engineer,,Current Employee ,Full-time experience,I have been working at Chicago Trading Company full-time for less than a year,1,Very much growth room for new people.,"Stressful environment, not very good work life balance",,5.0,3.0,4.0,5.0,5.0,4.0,,,
Mon Sep 16 2019 16:20:55 GMT-0400 (Eastern Daylight Time), Associate Software Engineer,,Current Employee ,good place to work at,I have been working at Chicago Trading Company full-time,0,1. great colleagues and manager that are willing to teach and help. 2. great food. 3. good salary.,nothing I can think of for now.,,5.0,,,,,,Recommends,,
Sat Sep 07 2019 02:53:45 GMT-0400 (Eastern Daylight Time), Trader,,Current Employee ,Political,I have been working at Chicago Trading Company full-time for more than 5 years,6,Pay is phenomenal and very team oriented environment. Great lunch benefit.,Highly political not in the corporate sense but leftist. If you are right leaning politically (not just a Trump supporter which I’m not) don’t let people know. They frequently say highly disparaging things about conservatives at social outings and in the office. I’ve been on multiple teams and this is frequently the case. It’s really soured what was previously a good experience. I’ve overheard gleefully calling republicans racist and sexist which really has no place in the office.,,3.0,5.0,2.0,4.0,5.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Tue Sep 17 2019 19:47:00 GMT-0400 (Eastern Daylight Time),,,Current Employee ,A Very Political Place,I have been working at Chicago Trading Company full-time for more than 10 years,4,Great benefits Great work life balance Job security Some very talented employees Good education/development of new hires Successful track record,"-The lack of opportunity for growth in the last few years has led to some extremely odd behavior... -Employee performance review and comp based on reputation with type A personalities favored and pretty much zero data behind compensation. -Non-white male employees are undervalued, under compensated and underrepresented in management. -Many managers holding their direct reports back in order protect their own job security. -Managers/upper mangers that have been responsible for countless talented employees leaving the firm are protected by their political connections. -Promotions almost entirely based on political maneuvering, specially a very strange obsession with holding inconsequential meetings non stop in hopes of gaining recognition/political points with managers. -Partnership being politically left leaning has flowed into managers openly displaying their left leaning beliefs in hopes of career advancement, with apolitical/right leaning employees feeling alienated. -Stealing of others ideas and work.",,1.0,4.0,2.0,1.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Jul 15 2019 12:20:15 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Current Employee ,Excellent atmosphere,I have been working at Chicago Trading Company full-time for more than 5 years,0,This is a great company where all desks try to collaborate together and with a great atmosphere,Could use more resources for technology,,5.0,5.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Aug 22 2018 06:43:47 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Partners,I worked at Chicago Trading Company full-time,0,Some nice people. Pay is good.,Closed group at the top.,,3.0,3.0,3.0,2.0,5.0,2.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Sun Jun 10 2018 18:44:11 GMT-0400 (Eastern Daylight Time), Engineer,"Chicago, IL",Former Employee ,"Superb Team, Superb Technology, Superb Experience",I worked at Chicago Trading Company full-time for more than 3 years,3,"I was challenged and encouraged to expand my skillset every day that I worked at CTC. The company has great leadership, supportive middle management, and a broad spectrum of top notch trading and technical teams.",I really have nothing negative to say about my experience at CTC. It was a pleasure.,,5.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Apr 24 2018 11:17:07 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Trading Assistant,I worked at Chicago Trading Company full-time,1,Training classes Snacks +breakfast lunch nice office,need better mentorship management decisions are opaque behind closed doors,,4.0,4.0,3.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
