date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Apr 25 2020 17:24:50 GMT-0400 (Eastern Daylight Time), Research Engineer,"New York, NY",Former Employee ,best company to work at,I worked at D. E. Shaw & Co. - Investment Firm full-time for more than 3 years,0,Your cow worker will be very kind and supportive.,"There will be times when the work is tough,but remember to stay focused",,5.0,3.0,5.0,4.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Jul 22 2019 04:54:17 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Great firm smart people,I worked at D. E. Shaw & Co. - Investment Firm full-time for more than a year,0,"Intelligent people, nice office, nice perks (nap pods, treadmill desks, etc) Great culture and food offerings",Pay is slightly below market,,5.0,5.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sun Apr 21 2019 13:10:50 GMT-0400 (Eastern Daylight Time), Quantitative Research Analyst,"New York, NY",Current Employee ,D. E. Shaw &amp; Co. - Investment Firm Review,I have been working at D. E. Shaw & Co. - Investment Firm full-time for more than 5 years,0,"Good salary, great benefits but greater people.","None specificly, I am satisfied.",,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Nov 30 2018 06:47:14 GMT-0500 (Eastern Standard Time), Quant,"New York, NY",Former Employee ,Sinking boat,I worked at D. E. Shaw & Co. - Investment Firm full-time for more than 3 years,19,Good culture. Flexible working hours and good people.,The return of portfolio is not good compared with competitors. Too much advertisement while new people comes in only to find limited job duty and lower pay compared with competitors. Many people leave.,,1.0,5.0,5.0,2.0,3.0,2.0,Neutral Outlook,,No opinion of CEO
Sun Sep 16 2018 19:43:32 GMT-0400 (Eastern Daylight Time), Human Resources Coordinator,,Current Employee ,"Great, positive place to work",I have been working at D. E. Shaw & Co. - Investment Firm full-time for less than a year,1,Great collegiate environment with interesting work and caring coworkers. A firm culture of excellence pushes you to be the best you can be.,"Depending on the position, work hours can be lengthy and not as structured as a 9-6 position. Most people are very work focused and can be seen as workaholics.",,5.0,4.0,5.0,4.0,5.0,5.0,,,
Fri Sep 28 2018 17:55:17 GMT-0400 (Eastern Daylight Time),,, ,prestigious company,I have been working at D. E. Shaw & Co. - Investment Firm,0,very good salary and intelligent people,high expectations and steep learning curve,,4.0,,,,,,,,
Thu Sep 06 2018 15:01:14 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Great Place to Work,I have been working at D. E. Shaw & Co. - Investment Firm full-time,0,Great working environment and great culture. It is the idea job I can expect.,Horrible AC temperature and the special snacks are not available for the holiday weeks.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jul 12 2018 08:20:57 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Great place to work,I have been working at D. E. Shaw & Co. - Investment Firm full-time,5,The company is as close to a meritocracy as I've experienced in my professional life--a good idea is a good idea regardless of who is recommending it.,Some people find the rigorous approach to problem-solving to be onerous and overly tedious. Anyone who's not detail oriented will not enjoy working here.,,5.0,4.0,5.0,5.0,5.0,5.0,,,
Wed Mar 07 2018 14:50:12 GMT-0500 (Eastern Standard Time), Human Resources Team Member,"New York, NY",Current Employee ,Great firm,I have been working at D. E. Shaw & Co. - Investment Firm full-time for more than 3 years,2,"Impressive peers, ethical, challenging and rewarding work. Strong in culture, compensation and benefits.","Lack of transparency, can feel bureaucratic at times.",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Nov 01 2017 17:50:03 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Intellectual elitists,I worked at D. E. Shaw & Co. - Investment Firm full-time,5,"Free snacks, dress code, laid back office environment.",Lack of structure day-to-day. Ossified bureaucracy.,,2.0,,,,,,,,
Thu Jul 13 2017 16:35:10 GMT-0400 (Eastern Daylight Time), N/A,"New York, NY",Former Employee ,N/A,I worked at D. E. Shaw & Co. - Investment Firm full-time for more than 3 years,3,"Incredibly bright people, who are also kind and interesting. Excellent compensation and benefit structure. Formed lasting friendships at this company.",Subject to performance downturns and ensuing labor cuts.,,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu May 18 2017 15:34:56 GMT-0400 (Eastern Daylight Time), Vice President,"New York, NY",Former Employee ,Smartest people in the world,I worked at D. E. Shaw & Co. - Investment Firm full-time for more than 8 years,17,"You get to work with the best thought leaders in the field, in a true meritocracy.",Imposter Syndrome is common. Most new hires are used to being the expert at what they do. It can require adjustment to get used to the impressive peer group in the firm.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 23 2017 18:21:43 GMT-0500 (Eastern Standard Time),,,Current Employee ,Great,I have been working at D. E. Shaw & Co. - Investment Firm full-time,0,"Smart people, interesting work, good culture","Not great at transparency, more people who are good at jobs but not good at managing",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 01 2017 07:45:19 GMT-0500 (Eastern Standard Time),,"New York, NY",Former Employee ,Excellent place to work and grow,I worked at D. E. Shaw & Co. - Investment Firm full-time for more than 5 years,2,* Great workplace * Good technologies * Extremely smart and high caliber people,* Work pressure is sometimes high,,4.0,3.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
