date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 25 2020 19:13:46 GMT-0500 (Eastern Standard Time), Trader,"Chicago, IL",Current Employee ,Overall good,I have been working at DRW full-time for more than 8 years,0,Smart employees and good culture,"Eat what you kill. If your product doesn't make money then you don't get paid. Traders do not share in the diversity and advantage of the overall firm trading different products in Equities, Fixed Income, Agriculture, Currency's, etc...",Thank you for sharing your experience at DRW on Glassdoor. We’re excited about some of the new programs we’ve introduced to help incentivize collaboration where it makes sense for the firm and look forward to your ongoing feedback. We value the opinions of tenured employees like yourself and will share your feedback with leadership.,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 01 2020 22:26:40 GMT-0500 (Eastern Standard Time), Agent De Asigurari,,Former Employee ,"Great benefits, lousy managers",I worked at DRW full-time,0,Free breakfast &amp; lunch and in house masseuse,Management was not that great,"Thank you for sharing the experience you had with your manager while at the firm. It’s important to us to create a culture where people can grow, which includes developing strong managers. We will share your feedback with the team in Montreal.",2.0,,,,,,,,
Wed Dec 11 2019 12:54:18 GMT-0500 (Eastern Standard Time), Trader,,Former Employee ,good company,I worked at DRW full-time for more than 8 years,0,High upside if very successful,"Pretty segmented, not a lot of teamwork","It’s always good to hear from people who were with our firm for a long time. As you know, DRW’s business strategies are very diverse, and some projects benefit from more autonomous work than others. Thank you for sharing your experience on Glassdoor.",4.0,5.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Mar 04 2019 18:05:11 GMT-0500 (Eastern Standard Time), Trader,,Current Employee ,Great office perks,I have been working at DRW full-time for more than 5 years,1,"Breakfast and lunch in office every day, good amount of capital to trade with",Very little collaboration with traders,Thank you for sharing your feedback on Glassdoor.,4.0,4.0,4.0,3.0,4.0,4.0,Positive Outlook,,
Wed Jan 23 2019 09:15:27 GMT-0500 (Eastern Standard Time),,,Current Employee ,Great Environment + People,I have been working at DRW full-time for more than 3 years,0,"The company is full of really incredible people and the environment they created is like none other. They treat employees really well, with tons of perks and opportunities to get really involved in the Montreal community. The work itself is challenging, very interesting and ever evolving. They are truly at the cutting edge of technology in the trading world, and they are afraid to invest in the continual build up of that.",Typical growing pains of a small company that is getting bigger and becoming part of a global presence. The management seems to be very engaged though and working to keep employees happy throughout this process.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Jan 23 2019 14:38:03 GMT-0500 (Eastern Standard Time),,,Current Employee ,Great place to work,I have been working at DRW full-time for less than a year,0,"I really enjoy the collaborative environment here. It has an open floor plan, which makes it easy to interact with everyone around you.",Not really any cons I can think of!,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Tue Dec 25 2018 10:06:02 GMT-0500 (Eastern Standard Time), Junior Trader,"Chicago, IL",Current Employee ,Trader,I have been working at DRW full-time for more than a year,4,"A rare combination of trading/tech skill, diversification across trading styles, risk appetite, and market leading infrastructure. The company grew fast, and still needs to be optimized internally as a result, but it has all the ingredients to become the best prop shop in the world.",Discretionary bonus structure within certain trading groups can be a bit opaque for younger traders. There is a push to unify the company but at the moment some desks are siloed and/or compete internally with other desks.,"Thank you for writing a review on Glassdoor. Continuous diversification of the firm has been a focus for us, and we are glad to see that you have enjoyed that aspect, along with others, of your experience at DRW. We will continually work to make the way our employees collaborate as efficient and helpful for personal growth as possible.",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 14 2019 04:53:27 GMT-0500 (Eastern Standard Time), Software Developer,,Current Employee ,it depends,I have been working at DRW full-time for more than a year,4,"the company in itself is very good; the quality of live and direction does vary a lot depending on the group. Fixed income and commodities have gone a large transformation, so the organization is messy, draconian with constant treats of getting you fired.",--No life-work balance --The job you do is very different from the job you were hired to do; and somehow is your fault,We understand this type of environment is not a great fit for every employee. We encourage you to talk to your manager or with a member of our recruiting team to ensure we’re meeting the expectations you had of your job responsibilities.,2.0,1.0,3.0,1.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Sat Dec 08 2018 10:10:14 GMT-0500 (Eastern Standard Time),,"Chicago, IL",Current Employee ,Researcher,I have been working at DRW full-time for more than 10 years,2,"Extremely smart coworkers combined with an organization that's constantly pushing for advancements in trading and research technology. Good salary, great compensation package, casual dress code and company pays for lunch.",None that I can think of.,"We are happy to hear your experience at DRW has been so positive. We thank you for your dedication over the past decade, and look forward to the years to come.",4.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Nov 15 2018 11:41:30 GMT-0500 (Eastern Standard Time),,,Former Employee ,Challenging (in a good way) Environment,I worked at DRW full-time,1,"Dedicated, extremely intelligent people across the board. Great people in general from the top down. Solid innovative work is generally recognized and rewarded.",Expectations can be hard to meet at times and the goalposts can move. It feels less familial as the company has grown.,"Thank you for sharing your experience on Glassdoor. We agree with you – we have great people across the organization and they are truly our greatest asset. As our organization grows globally, and we find ways to do that thoughtfully and efficiently, we will keep your feedback in mind.",4.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Oct 08 2018 12:25:12 GMT-0400 (Eastern Daylight Time),,,Current Employee ,A rare combo of smart + professional + nice,I have been working at DRW full-time,3,"When I went through the recruiting process, I was impressed by the level of intelligence of each person I met, and then realized I also just enjoyed talking with each of them. As someone who has worked in several different fintech and trading firms, I've come to appreciate that having colleagues you LIKE is a huge bonus. It was part of the reason I said yes to coming here, and it's proven a smart decision each day since. It's hard to find a blend of smart, driven and nice, but DRW actively recruits for exactly that combination, and whatever they are doing, it is working. As a working mom, it's also been refreshing to experience how supportive the firm has been in enabling me to manage and accelerate my career while also having the flexibility to manage my other priorities. It appears this mentality holds true whatever those ""other"" priorities are -- family, a passion project, etc. The people here are celebrated not just for what they bring directly to their jobs but also for the other things that make them tick. It's also fun to be at a place with a proven track-record and a lot of success that is still constantly innovating and seeking new opportunities. It's a dynamic place that welcomes new ideas -- from every level -- and gives bold ideas the oxygen they need to thrive where it makes sense. And of course, as you'd expect, the technology/hardware/perks are all awesome.",Growing pains that come with our global expansion and diversification can be a bit turbulent.,It’s great to hear that even in your short time here you feel supported not only as an employee but also as a parent. We will continue to do this and to empower our employees to effectively innovate and capture opportunities in the markets.,5.0,4.0,5.0,4.0,5.0,,Recommends,,Approves of CEO
Mon Oct 08 2018 12:11:58 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Current Employee ,Great place to work,I have been working at DRW full-time for less than a year,1,"Friendly, casual, surrounded by smart people who care about what they do",Teams are somewhat broken up so you have to actively get to know people on other teams if you want to,Thank you for writing a review. We are happy to hear you are having a positive experience at DRW.,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Sep 06 2018 18:46:34 GMT-0400 (Eastern Daylight Time),,, ,Trading Analyst Intern,I worked at DRW,0,"Very interesting, actually useful projects/work",Nothing stood out in a negative manner,We’re glad to hear that you enjoyed your work. Thank you for writing a review on Glassdoor.,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sun Aug 26 2018 23:48:27 GMT-0400 (Eastern Daylight Time), Trader,,Former Employee ,"Lacking in tech innovation, can't attract top tier talent.",I worked at DRW full-time for more than a year,6,"People are nice, not very high stress","Given that the current state of tech is moving into AI, DRW is definitely lagging at attracting top talent. Places like Two Sigma, HRT, Jump, Citadel, etc. are very strongly embracing AI and have amazing presence, which makes them attract high caliber PhD students, smart undergrads, etc. who then tell their smart friends, and it becomes a virtuous cycle. Leaving DRW doesn't really give much credential in exit options - aside from a few trading firms, nobody seems to care that you've worked at DRW. Tech doesn't care and won't put you in interesting roles such as machine learning, and other well-known firms don't really care either from interviews.","Attracting smart people who are good colleagues and creating a balanced workplace are high priorities at DRW. We’re glad that was your experience. We also agree AI and machine learning have a role in our business, and we are currently investing in and using both. As is true at all trading firms, we’re mindful about when and how we expose what we perceive as advantages in the market, and so some things aren’t widely broadcast, even internally.",2.0,3.0,2.0,2.0,2.0,3.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Tue Aug 07 2018 22:53:15 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Current Employee ,I enjoy working with some of the smartest ppl in the city.,I have been working at DRW full-time for more than a year,0,"Smart ppl, caring atmosphere, interesting problems",Not really any I can think of,Thank you for sharing your experience at DRW. We’re happy to hear you enjoy the people and the work at our organization.,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
