date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO,Company
Fri Jun 21 2019 11:25:52 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Current Employee ,Excited for what is ahead!,I have been working at AKUNA CAPITAL full-time for less than a year,9,"Priorities seem straight. Smart and hardworking people who are valued. There seems to be opportunity to grow along with the company because it is growing so much. Work-life balance has positively surprised me - definite sense of understanding that people have lives and interests outside of work, ability to use travel days and leave at normal hours without being shamed. Opportunities to get to know coworkers in social settings outside of the office too. Feels entrepreneurial by nature, employees are encouraged to be self-starters and always be looking for ways to improve Akuna and themselves. Leadership is great, very open-minded people who look for ways to help people grow and develop. Leadership is passionate about Akuna: constantly looking for ways to help Akuna continue to grow and become an industry leader. It seems like a place people stay at for a long time, or if they leave, they return.","Not the most diverse workplace, in need of more women specifically, but understand that this is a priority for Akuna.",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,,akuna
Thu Mar 19 2020 10:11:32 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Former Employee ,low morale high stress,I worked at AKUNA CAPITAL full-time for more than a year,6,good money smart colleagues good social scene,extraordinarily stressful environment even compared to traditionally high-stress cultures such as investment banking and management consulting money partially hoarded by senior management. moreso than you may expect poor tech leadership frequent turnover of employees. quitting/firings are common,,2.0,1.0,2.0,3.0,3.0,2.0,Doesn't Recommend,Positive Outlook,,akuna
Mon Mar 30 2020 12:26:32 GMT-0400 (Eastern Daylight Time), Software Developer,,Former Employee ,Zero understanding of technology and zero vision.,I worked at AKUNA CAPITAL full-time for more than a year,9,"Events, trips, kitchen, barista","Lack of any experience of technology in senior management. CEO reads a random technology article believes he is an expert and demands it be implemented. Refuses to listen to actual experts with over a decade of knowledge that the company has hired.

Unwillingness to fix legacy technology issues due to cost which leads to constant issues throughout the environment. Turnover rate in IT makes it impossible to improve upon years of barely keeping the lights on.",,1.0,4.0,1.0,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,,akuna
Thu Feb 13 2020 17:37:58 GMT-0500 (Eastern Standard Time), Quantitative Researcher,"Chicago, IL",Current Employee ,From First to Worst and Clueless how to Fix It,I have been working at AKUNA CAPITAL full-time for more than 3 years,11,"They did great with technology and making hay while the HFT sun shined. Shared the wealth, made everyone happy.","Absolutely clueless about how to move to being quantitatively-oriented or economically-aware. I've recommended people with PhDs and experience leading teams... and they made every one of them take an insulting arithmetic and python coding test. That was all kinds of awkward explaining to very accomplished people why we put them through a one-size-fits-all process that is fighting improving the place. In the end, all that did was sully the firms name with some influential people. FML for trying. Of course, this is why I don't intend to stay here much longer: I can see the writing on the wall.",,2.0,4.0,4.0,2.0,2.0,2.0,Doesn't Recommend,Negative Outlook,,akuna
Sat Mar 14 2020 06:38:38 GMT-0400 (Eastern Daylight Time), Software Developer,"Chicago, IL",Current Employee ,Mixed feels about the future,I have been working at AKUNA CAPITAL full-time for more than 3 years,7,"Work life balance can be good, at least sometimes. Office location is great. Free drinks, company trips. Compensation can be good when market favors.","If you are a graduate, and intersted in market making, this can be a good firm for you to learn. Technologies used are very limited, not fantastic. After some years, you can decide if you're really interested in this area and probably you still can find another job in the market (although the skills may be not that marketable).

Some senior folks are not that friendly and makes you feel terrible. For example, may be talking something completely wrong without knowing it. And they stop you to challenge it. How would you feel if your 'manager' is like a kid that doesn't know the programming basics? Besides this, insulting words and personal attacks are something you may feel during work.",,1.0,4.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Positive Outlook,,akuna
Tue Mar 10 2020 21:12:44 GMT-0400 (Eastern Daylight Time), Quant,"Chicago, IL",Current Employee ,Clueless and management with poor compensation structure,I have been working at AKUNA CAPITAL full-time for more than 3 years,8,Literally none at the moment,"When there is a good year management reduces bonuses for everybody but pays themselves big fat checks, and when there is a bad year bonus is not performance related at all. The whole company has no clue where to invest (senior tech management is fired all the time, 4 CTOs in 2 years), and the quant team has a changed direction every 5 minutes. The whole trader management has no understanding of technology and no respect for quantitative measures.",,1.0,1.0,3.0,2.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,akuna
Mon Feb 10 2020 18:28:35 GMT-0500 (Eastern Standard Time), Software Engineer,"Chicago, IL",Current Employee ,"Turning sour fast, morale at all time low",I have been working at AKUNA CAPITAL full-time for more than 3 years,14,"My turn soon over here. Had a few good years, the right place right time, with a decent kitchen.","2018 on record year bonuses were almost flat so management could pay themselves higher. 2019 year was chaos. Profits down dramatically. Greedy mismanagement, no clear direction. Entire firm is just copy + paste of Optiver strategies, which can only take you so far. No new ideas just iterating on the late 2000s. CEO spend half the year distracted by a fumbled deal, then fire the CTO and cause exodus of senior developers (after some of the best senior traders and quants already left). Management generally absent, across the board low understanding of modern technology - probably not a single person in trader management could explain you how to write basic script, yet they try to call the shots for tech directions! Read positive reviews on the glassdoor with salt - many very obvious stink of HR flavors.",,1.0,2.0,3.0,2.0,2.0,1.0,Doesn't Recommend,Negative Outlook,,akuna
Mon Dec 23 2019 09:00:21 GMT-0500 (Eastern Standard Time), Systems Engineer,,Current Employee ,Great company but expect long hours,I have been working at AKUNA CAPITAL full-time,0,"Very nice perks, Great atmosphere Amazing people Very smart people and always will to cooperate",Work/life balance doesn’t exist You have to give up on some of your weekends for sure,,4.0,2.0,4.0,3.0,4.0,4.0,Recommends,,,akuna
Fri Nov 22 2019 11:10:00 GMT-0500 (Eastern Standard Time), Anonymous,"Chicago, IL",Former Employee ,Chaos,I worked at AKUNA CAPITAL full-time for more than a year,0,"Free snacks, every flavor of LaCroix, a free coffee bar with a barista, pay was good, the bonus structure, good insurance, and free chewing gum. Some people were super nice as well.",Too much reaction and not enough planning with everything they do in IT. Job stability is not good. No 401K match. Some people had ego’s and thought cakes and pies made everything nice.,,3.0,1.0,2.0,3.0,4.0,2.0,Neutral Outlook,,No opinion of CEO,akuna
Tue Oct 29 2019 20:03:47 GMT-0400 (Eastern Daylight Time), Developer,,Current Employee ,Interesting but hard work,I have been working at AKUNA CAPITAL full-time,0,Endless challenging/fun problems. Insanely talented / hardworking co-workers. Never a dull moment.,Long Hours. tant Firefighting. Secretive/Trust issues.,,4.0,,,,,,Recommends,Positive Outlook,,akuna
