date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Apr 15 2020 21:20:41 GMT-0400 (Eastern Daylight Time), Analyst,"New York, NY",Current Employee ,Engaging Work,I have been working at Jane Street full-time for more than a year,2,"Very smart people, collaborative culture, great pay",None that I can think of,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Apr 14 2020 21:41:33 GMT-0400 (Eastern Daylight Time), Quantitative Trader,"New York, NY",Current Employee ,Salary,I have been working at Jane Street full-time for less than a year,0,It has a diverse atmosphere and people are all very talented there.,The pace is a bit fast and sometimes feels pressured,,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Nov 20 2019 17:07:45 GMT-0500 (Eastern Standard Time), Current Employee,,Current Employee ,Best company I’ve ever worked for,I have been working at Jane Street full-time,1,"Jane Street is by far the best company I’ve ever worked for. People really care about the culture and environment and it shows. Amazing benefits, food, and coworkers.",WFH could be more flexible but the great work life balance makes up for that.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Oct 21 2019 13:43:04 GMT-0400 (Eastern Daylight Time), Manager,,Former Employee ,culture,I worked at Jane Street part-time,1,good recruiting and they do a good god,none i think they do a good job,,5.0,5.0,,,,,Recommends,,Approves of CEO
Thu Aug 15 2019 17:22:42 GMT-0400 (Eastern Daylight Time), Software Engineer(Internship),,Current Employee ,"Good, but confusing codebase",I have been working at Jane Street full-time,0,"OCaml, interesting problems, smart people",Hard to see where your code is used,,5.0,,,,,,,,
Sat Jun 01 2019 18:34:57 GMT-0400 (Eastern Daylight Time), Research Associate,,Former Employee ,GOOD,I worked at Jane Street full-time for more than a year,1,GOOD benefits and pay that I loved,dont remember any cons to put,,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Mar 01 2019 19:29:03 GMT-0500 (Eastern Standard Time), Trader,"New York, NY",Current Employee ,trader,I have been working at Jane Street full-time for less than a year,3,"Great environment, Great People, Very smart.",None that i can really think of.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 06 2019 19:19:04 GMT-0500 (Eastern Standard Time), Technology,,Current Employee ,Great place to work for,I have been working at Jane Street full-time for more than 3 years,1,"Great place to learn, competitive, nice employees",Nothing that I can think of,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 19 2019 09:49:20 GMT-0500 (Eastern Standard Time), Account Manager,,Former Employee ,It was a good place,I worked at Jane Street full-time for less than a year,2,I like the place a lot,Lots of work in a short period of time,,4.0,4.0,4.0,5.0,4.0,4.0,,,
Tue Jan 08 2019 20:01:44 GMT-0500 (Eastern Standard Time),,,Current Employee ,It's a great place to work,I have been working at Jane Street full-time,6,"- Coworkers are helpful and smart. Everybody works hard and it feels like a team. - The work is interesting and challenging - The culture is one of humilty and friendliness, not big egos - The office and perks are amazing - We have strong ethical guidelines and stay away from gray areas that other financial firms would take advantage of - Everyone is treated fairly","- Can be a bit secretive at times, especially about pnl, though less than many other firms in this space",,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,
