date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat May 02 2020 23:48:48 GMT-0400 (Eastern Daylight Time), Analyst,"Houston, TX",Former Employee ,Great place to work,I worked at Millennium full-time,0,Smart people and fast pace environment.,"None, I enjoyed my tenure.",,5.0,,,,,,,,
Wed May 06 2020 17:13:51 GMT-0400 (Eastern Daylight Time), Equity Analyst,"New York, NY",Current Employee ,Not the best place to work as analyst,I have been working at Millennium full-time for more than 3 years,0,Company is only focused on the PMs. The payouts are great for the PMs.,Mgmt could care less about the analysts. If the PM does well then Senior Mgmt is happy with the analysts. Senior Mgmt doesn’t have any way of judging how good the analysts are.,,2.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Apr 30 2020 07:32:00 GMT-0400 (Eastern Daylight Time), Operations Analyst,"New York, NY",Former Employee ,Not a great working environment,I worked at Millennium full-time for more than a year,0,"Autonomy to initiate and drive projects. Great tech resources. Very intelligent colleagues. Pays very well, along with generous severance. Excellent name to have on our resume, will open many doors.","Poor management. As it's very silo'd, the management experience may differ among Ops teams. In my experience, the management style was fear based with constant criticism. No written annual review process. Women's ideas and opinions were not valued. Not many opportunities for internal mobility. Cliquey atmosphere.",,2.0,3.0,1.0,2.0,5.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Thu Apr 23 2020 08:22:13 GMT-0400 (Eastern Daylight Time), Software Engineer,"New York, NY",Current Employee ,Great working environment,I have been working at Millennium full-time for more than a year,0,"Great working environment, sharp colleagues who are strong technically and laid back.","Place is slowly turning into a bank, increasing levels of bureaucracy.",,4.0,3.0,4.0,5.0,4.0,1.0,Recommends,Positive Outlook,
Mon Mar 30 2020 15:30:26 GMT-0400 (Eastern Daylight Time), Senior Software Engineer,"New York, NY",Former Employee ,Overall a nice company to work for,I worked at Millennium full-time for more than 5 years,0,"Good team atmosphere, free to choose the technology to implement things in, good salary, decent working hours","Groups are pretty insulated, there is not too much intra-company interactions.",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Mar 16 2020 07:59:22 GMT-0400 (Eastern Daylight Time), Quantitative Research Analyst,"Old Greenwich, CT",Current Employee ,Very good company,I have been working at Millennium full-time for more than 5 years,0,"Flexible atmosphere, nice service and people","strong risk control, lack of lectures",,5.0,5.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Mar 05 2020 08:52:21 GMT-0500 (Eastern Standard Time), Financial Planning and Analysis,"New York, NY",Former Employee ,Millennium Management,I worked at Millennium full-time for more than a year,0,"Great Learning Curve, Great communication","Slow Adaptability, Complex Structure",,5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Nov 05 2019 15:43:26 GMT-0500 (Eastern Standard Time), Trader,"New York, NY",Current Employee ,great,I have been working at Millennium full-time for less than a year,0,"love it, really great place to work","very competitive, long hours",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Oct 13 2019 16:10:01 GMT-0400 (Eastern Daylight Time), Linux Systems Engineer,,Former Employee ,Linux Systems Engineer,I worked at Millennium full-time for less than a year,1,Great team! Lots to learn and work on.,Nothing that I can think of,,4.0,5.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Sep 12 2019 10:51:00 GMT-0400 (Eastern Daylight Time), Internal Audit,,Former Employee ,"Hard to get in, but great place to work",I worked at Millennium full-time for more than 5 years,0,Highly Competitive Pay Dynamic Work Great People,Weak Communication from Leadership High churn for even decent performers Not a lot of advancement across the organization,,5.0,4.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Aug 26 2019 13:23:54 GMT-0400 (Eastern Daylight Time), IT Analyst,,Current Employee ,Good place to work,I have been working at Millennium full-time,0,Good place to work,Nothing in particular to be specific.,,4.0,,,,,,,,
Sat Aug 24 2019 08:32:57 GMT-0400 (Eastern Daylight Time), Analyst,"New York, NY",Former Employee ,Extremely well run,I worked at Millennium full-time for more than a year,1,Extremely well run company. No real complaints or issues. Massive upside if you're in the right seat.,"No real cons. This is a tough place to work, but learn the game and stay afloat, you can make real money.",,4.0,3.0,4.0,5.0,5.0,4.0,Recommends,,Approves of CEO
Thu May 16 2019 07:50:26 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Analyst,I worked at Millennium full-time for more than a year,0,"Smart people, great place , good comp","terrible hours, nice pay though",,3.0,2.0,4.0,3.0,3.0,4.0,,,
Tue Apr 23 2019 14:47:02 GMT-0400 (Eastern Daylight Time), Operations,,Former Employee ,"Rewarding work, but difficult to grow",I worked at Millennium full-time for more than 5 years,0,A sense of autonomy that allowed individuals to drive projects and create their own success.,It's unclear if management values the career growth/aspirations of individuals within operations/middle office,,4.0,4.0,2.0,3.0,5.0,3.0,,,
