date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 19 2020 11:12:05 GMT-0500 (Eastern Standard Time),,"Chicago, IL",Current Employee ,Challenging and rewarding IT environment,I have been working at Optiver full-time,1,"Incredibly collaborative environment that presents constant opportunities to learn. Optiver gives young employees a chance to make a serious difference within an industry leading firm. The built in support system of extremely intelligent technical professionals helps members throughout IT learn to act in principled ways, leading to a stable, reliable IT infrastructure. The work is engaging, challenging, and rewarding. That, coupled with the benefits and workplace perks make this a great place to work.",Very few cons come to mind.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Mar 24 2020 15:38:42 GMT-0400 (Eastern Daylight Time), Software Engineer,"Chicago, IL",Current Employee ,Good culture and people,I have been working at Optiver full-time,0,"All the usual tech company perks (breakfast, lunch, snacks, coffee) Reasonable hours for finance in general Good compensation, with transparent performance based bonus system.","Hours could still be better, 8-5:30pm is pretty much the minimum expected for software devs, and it only gets worse. Compared to some other tech firms my peers are working for, that's pretty bad. Compared to other fintech firms my peers are working for, that's pretty good/on par",,4.0,3.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,
Wed Feb 12 2020 20:00:22 GMT-0500 (Eastern Standard Time),,,Former Employee ,Toxic culture built on fear: great benefits,I worked at Optiver full-time,4,"Benefits are amazing, great 401(k) match, fully funded insurance, 25 vacation days a year, annual bonus. Breakfast and lunch provided.","Culture is extremely toxic, especially within IT. Long-time employees fired without warning regularly. CTO gave a speech about how fear should be the main motivator for our jobs, and that keeping our jobs was the reward for good work. Regularly heard others engaging in racist and sexist language during the workday. This was ignored because the individuals were partners within the business. Little to no career advancement opportunity.",,2.0,4.0,1.0,1.0,5.0,2.0,Doesn't Recommend,Negative Outlook,
Wed Dec 04 2019 07:07:12 GMT-0500 (Eastern Standard Time), Director,,Former Employee ,Very Isolating,I worked at Optiver full-time for less than a year,0,Lots of great learning in a short amount of time,You need to figure everything out on your own with zero on-boarding and training. Expectations are not clear.,,3.0,,,,,,,,
Sun Oct 27 2019 20:50:12 GMT-0400 (Eastern Daylight Time), IT Operations,"Chicago, IL",Current Employee ,"Great benefits, long hours, good bonuses",I have been working at Optiver full-time for more than 3 years,5,"Base pay is average, bonuses are good in recent years as the company has done well (bonus payout is directly tied to profits). 401k match is fantastic. Fun company events every few months including a yearly trip. Opportunity to work with new technologies that you may not get to use at a company with smaller budgets. Optiver is not afraid to spend on IT as long as it will improve trading.",Work/life balance for IT Ops staff has decreased a lot in the past 12 months. Working Saturdays and late into the evening has become quite common as projects are pushed by trading. This has also been the source of some recent resentment between various departments. People have become increasingly stressed and overworked in recent months.,,4.0,2.0,5.0,5.0,4.0,3.0,Recommends,Neutral Outlook,
Tue Sep 17 2019 16:24:50 GMT-0400 (Eastern Daylight Time), Trader,,Current Employee ,Good at what they do,I have been working at Optiver full-time,0,Good at what they do,Culture is not great imo,,3.0,,,,,,,,
Mon Aug 19 2019 16:44:57 GMT-0400 (Eastern Daylight Time), Systems Engineer,"Chicago, IL",Former Employee ,"Great benefits, smart people",I worked at Optiver full-time for more than 5 years,5,"You get to work with a lot of smart people. There is very little dead weight, and everyone contributes. I.T. isn't viewed as a cost to be reduced, because I.T. is the lifeblood of the company. Pay and benefits are outstanding.","With the pay (especially bonuses) being so high, it means management knows you'll put up with a good deal of crap before leaving. Also, the flip side of being a company with lots of smart people is that if you're not above average in your field, your days will be numbered if you happen to slip through their interview process.",,4.0,4.0,4.0,3.0,5.0,4.0,Recommends,Positive Outlook,
Fri Jul 26 2019 09:04:17 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Former Employee ,"They do a lot of things right, but have room to improve",I worked at Optiver full-time for more than 3 years,3,"I worked at Optiver many years ago, so take everything with a grain of salt. From a trader perspective, they do a lot right. The people are very talented, the software is cutting edge and fast, and the compensation/benefits are very good. I think they also did a good job creating and keeping a culture where everyone tries to improve, and everyone feels like they're on the same team.","I feel like the top traders don't necessarily make for the top managers, and they need to continue to train traders throughout their career. Non-traders sometimes were treated like second class citizens, which obviously shouldn't be the case. The culture is very aggressive - there's a ton of pressure to keep improving or you could be out of the company sooner rather than later, which is a lot of stress to have. And the comp structure, while good, was very top heavy.",,4.0,3.0,4.0,5.0,5.0,3.0,Recommends,Neutral Outlook,
Sat Apr 20 2019 11:11:43 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Current Employee ,The best!,I have been working at Optiver full-time for more than 10 years,1,Very competitive internally and externally. Solid teams.,"Relies strongly on organic growth, doesn't hire many experienced traders.",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Apr 16 2019 17:00:40 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Current Employee ,Strong trading firm,I have been working at Optiver full-time for more than a year,1,"Extremely good compensation, trades a lot of products, well-established, relatively transparent",Some coworkers can be very difficult to work with and won't be told to change by management. Management in general doesn't really listen to your concerns,,4.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Mon Oct 08 2018 12:53:23 GMT-0400 (Eastern Daylight Time),,, ,Nice Job,I worked at Optiver,0,Was really really really good,no cons really was great,,5.0,,,,,,,,
Thu Nov 08 2018 10:10:15 GMT-0500 (Eastern Standard Time),,,Former Employee ,Not Recommended,I worked at Optiver full-time for more than a year,6,I worked at their Chicago location. Decent starting salary Office was alright,"A lot of their senior software engineers are incompetent. Additionally, internal organization is a mess. A lot of tasks get bounced around between teams because there is no one source of structure.",,1.0,3.0,2.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Oct 02 2018 07:38:52 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Best company I've ever worked at,I worked at Optiver full-time,1,"Great culture, smart and friendly co-workers, competitive salary",Cannot think of any,,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jul 31 2018 13:13:16 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Trader,I have been working at Optiver full-time,3,Great collaborative culture and friendly colleagues. Optiver is the best market maker on many markets.,Being on certain teams means easier to get a good review.,,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Aug 15 2018 11:35:11 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Good starter job,I worked at Optiver full-time,2,"Good job for new grad, decent starting salary and opportunity to learn.",Growth ceiling after first couple years and bad management.,,3.0,,,,,,,,
Fri May 18 2018 07:47:11 GMT-0400 (Eastern Daylight Time), Software Developer,"Chicago, IL",Current Employee ,Continuous Improvement,I have been working at Optiver full-time for more than 8 years,19,"I've worked at Optiver a long time. Every year it gets better. - The company is managed on the basis of principles and values, not process or politics. - Those principles and values align very nicely with mine: -- Autonomy: there is very little hand-holding and extraordinarily high expectations of individuals in the company. The company rewards those that keep pushing those expectations higher with greater responsibility and authority. -- Collaboration: there are a lot of great fights over the right way to approach a given problem. When we're at our best, everyone in the fight has a strong opinion but is also listening to everyone else and continually re-evaluating that opinion as new information, ideas, and opinions are expressed. -- Prudence: the company carefully evaluates risk/reward trade-offs both when it comes to trading and technology decisions. The latest fads (cryptocurrency, esoteric programming languages, etc) are carefully evaluated, but reckless pursuit of them is frowned upon. I'll end with a sports analogy. Working at Optiver Chicago is like playing for the Patriots or the San Antonio Spurs. It certainly isn't for everyone. But if you like competing for the championship every year and always pushing yourself to be better, there's no better team to join.","If the company values do not align with yours, you will find it an increasingly frustrating place to work. Honestly, just read the cons from other posts and you can see how that plays out. If you find the principles above strange, out of fashion, or backwards, you'll agree with other people's cons. If you think those principles are refreshing, you will have a hard time coming up with many cons.",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
