date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Oct 26 2018 09:26:05 GMT-0400 (Eastern Daylight Time),,, ,Good experience,I have been working at Quantlab,0,academic enviroment for discussing projects.,goal is not clear for interns.,,5.0,5.0,5.0,5.0,5.0,,,,
Mon Feb 03 2020 15:44:25 GMT-0500 (Eastern Standard Time), Software Engineer,,Former Employee ,"A unique organization, incomparable to other HFT or IT companies",I worked at Quantlab full-time for more than a year,0,"Work/life balance is challenging because it tilts to the life side too easily. Opportunities to see dazzling organization changes in a very short period of time. Opportunities to enjoy the most enlightening pairing between software developers (probably not for everyone). Free lunch, free snacks, free non-alcoholic and alcoholic beverage, and some still prefer having coffee with colleagues outside.",Hidden germs in every employment contract. Never try to change the mind of any 'senior people'.,,1.0,5.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jun 03 2019 15:55:30 GMT-0400 (Eastern Daylight Time), Software Engineer,,Current Employee ,Great company if you're on the right team.,I have been working at Quantlab full-time,0,"Great technical challenges.
Awesome pay and benefits.",Cant say for contractual reasons. Most people cant and wont tell you for legal reasons.,,3.0,5.0,1.0,3.0,5.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Mon Dec 03 2018 19:51:53 GMT-0500 (Eastern Standard Time),,"Houston, TX",Former Employee ,Interesting Company to work for,I worked at Quantlab full-time for more than a year,0,* Very intelligent people * Most people are very nice * Interesting problems to work on,* Mentality of making money for the sake of making money. * There's an air of your worth depends on how much money you make. * They have brainwashed themselves that they're almost a charitable institution since they're making the markets more efficient. * Research team is composed of only men.,,4.0,4.0,3.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jul 06 2018 08:32:22 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Always challenging technical problems to work on!,I worked at Quantlab full-time,0,"Quantlab always has interesting and challenging technical work for the eager engineer and research professional. The technology is bleeding edge, and work-life balance is fantastic.","Although a culture of innovation was always supported in theory, in practice it was hard to realize this dream, and this can be a turn off for ambitious-minded individuals.",,4.0,5.0,3.0,4.0,5.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jun 02 2018 07:18:04 GMT-0400 (Eastern Daylight Time), Hardware Engineer,"New York, NY",Current Employee ,Hardware Engineer,I have been working at Quantlab full-time for more than a year,0,I always feel challenged by my work. Work pays for lunch and a stocked pantry.,I do not recognize any cons at the moment. The grass always seems greener on the other side of the hill. Quantlab provides me with a hardware engineering position that is challenging and that I enjoy.,,5.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sun May 06 2018 17:06:42 GMT-0400 (Eastern Daylight Time), Software Engineer,"Houston, TX",Current Employee ,"Satisfying work and compensation. Excellent for the area, but only good overall.",I have been working at Quantlab full-time for more than a year,0,"The work is interesting and the work-life balance is unusually good for a HFT. There are some very smart and talented people who are very happy to help. Compensation is far above average for the region. Houston doesn't have a strong tech presence, so there aren't many comparable opportunities in the area. Lunch is a nice perk.","Limited communication from senior management. Declining industry profits have led to unexpectedly low bonuses recently. The new office is bigger and nicer, but has a very sterile feel. Cost-cutting and major management changes doesn't invite an especially happy culture.",,5.0,5.0,3.0,4.0,5.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sat Apr 01 2017 13:26:53 GMT-0400 (Eastern Daylight Time), Senior Software Engineer,"Houston, TX",Current Employee ,Too much politics,I have been working at Quantlab full-time for more than 8 years,11,"Relative high pay, relaxing working environment and pace, lots of talents around you, some special perks the employer provides such as sports game tickets","Too much politics, not much growing space, most people are arrogant, unclear company direction, over employment so that there are a lot of people don't have enough things to do, talent not being appreciated","Thank you for taking the time to share your thoughts about Quantlab. We value your opinion, whether good or bad. We realize the shift in management has muddied the water and we are working hard to ensure that Quantlab’s company vision is clear for all of our employees, not just our leadership team. I’m sorry that you feel Quantlab doesn’t appreciate our employees. We strive to let our employees know that we value them and wouldn’t be successful without them. It sounds like we need to do better about making that more apparent. If you have any suggestions or thoughts you’d like to share, please feel free to reach out to me, Nicole O'Neil, directly or anyone on our HR team.",3.0,4.0,3.0,3.0,4.0,2.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Wed Mar 08 2017 19:42:11 GMT-0500 (Eastern Standard Time),,,Former Employee ,Not for everyone,I worked at Quantlab full-time,5,"* Free lunches were a nice perk. * New space has standing desk option for everyone. * Pay in some groups are way above industry norms. * Some groups are working on really cutting edge technologies. Some of the folks working there have been there for many, many years and they love the work, the culture, and their management.","* Some of the groups refuse to keep up with modern technology trends for reasons. * While they prefer to promote managers from within (good thing), they do not offer them the support they need to become good or even great managers. Some do anyway, others struggle * Price of benefits","Thank you for the review. We are glad to hear you enjoy the perks of working at Quantlab. We work to ensure we are keeping up with the trends in order to engage and retain our talented community of employees. And while, Quantlab does like to promote managers from within, we realize that we also must give them the training and support they deserve to equip them for their new role. We now require all of our new managers go through manager and leadership training before stepping into their new role. We hope that this helps our managers and employees succeed in their roles. Please do feel free to reach out tome, Nicole O'Neil, or anyone on our HR team with any feedback or advice on how we can continue to work on making Quantlab a great place to work.",3.0,4.0,3.0,3.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Mon Feb 13 2017 16:17:10 GMT-0500 (Eastern Standard Time),,,Current Employee ,Great Company to Work!,I have been working at Quantlab full-time,2,Flexible time! Great Perks! Very good co-workers!!!,Some team members do not work enough!,"It’s always great to see positive reviews, so thank you! We believe our flexibility, perks and our talented employees are the essence of Quantlab. We are always looking for ways to continually improve so please feel free to reach out to me, Nicole O'Neill, or any member of our HR team with any ideas or additional comments.",5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
