date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Dec 16 2019 08:24:33 GMT-0500 (Eastern Standard Time), Trader,"New York, NY",Former Employee ,Great !!,I worked at Susquehanna International Group (SIG) part-time for more than a year,1,So friendly people. So fun job,Salary is lower than other similar jobs,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Apr 15 2020 16:18:05 GMT-0400 (Eastern Daylight Time), Systems Administrator,"Bala Cynwyd, PA",Current Employee ,50/50,I have been working at Susquehanna International Group (SIG) full-time for more than 5 years,0,"- Opportunities to learn, though a lot is SIG specific - they don't offer cert training. - Very collaborative environment (this is a pro and a con) - Wide array of benefits like discounted gift cards, on-site free food, etc. - Access to senior level knowledge to help you learn. You can always ask someone for help, and will almost always get it, which makes learning a lot easier.","- Being so collaborative comes at the cost of no privacy and small work spaces - a constant feeling of being watched. It can be hard to sit and focus on anything when you keep getting distracted and interrupted by the seating arrangements. - They will try to pay you as little as possible, so you need to know your worth and fight for it. - They do not care about work/life balance and expect you to give up a lot of your own free time to help the business. No WFH options, don't even try (during normal business operations anyway). They think anyone who wants to work from home is just a slacker. - Expect 50 hour work weeks, 45 minimum, not including your commute. SIG is located at a very bad place in terms of cost of living and traffic. You may find 11 hours of every day gone just to work here, 5 days a week.",,3.0,1.0,2.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Mar 30 2020 23:33:55 GMT-0400 (Eastern Daylight Time), Trader,,Former Employee ,"Decent Pay, Bad Culture",I worked at Susquehanna International Group (SIG) full-time,0,"For a trading firm, your job is relatively safe (if you make it to trader). You will have good exit opps.","Pay is decent, but low for what is supposed to be a premium shop. Education is intentionally very cold, and this initial resentment lingers for many.",,3.0,4.0,2.0,4.0,3.0,2.0,,,
Wed Feb 26 2020 12:51:15 GMT-0500 (Eastern Standard Time),,, ,Give it time,I have been working at Susquehanna International Group (SIG),0,"SIG is kind of a weird company, but once you learn to tryst it, the people, and the weirdness it’s a great and fun llave to work. They do a great job of supporting local businesses with the catering and are getting better about having women’s programming. Although it’s not necessarily a diverse environment (especially in technology or on the trading floor), it’s a very welcoming and inclusive environment. I think the difficulty with SIG is just really based on where you came from. If previously you worked somewhere with lots of hierarchy and titles and rigidity, SIG can be overwhelming in how relaxed and informal it can be. Other places might say they dress casual, but SIG actually means it. Yes people do actually wear shorts in the summer to work. If you are used to a micromanaged atmosphere, SIG can definitely take a while to get used to. I’m definitely very independent, but I have found for the most part people let you figure out the best pace for you to get your work down...and at first, this was scary. But if you learn to treat SIG with an honor system mentality you’ll do great. I was worried after reading reviews I would find payroll raises to be nonexistent. However, after starting with a slightly low base salary, my first raise was decent/fair (not outstanding) and my bonus above target.",No working from home unless absolutely medically necessary. Vacation time is average (17 days) and should be higher considering the family values they uphold.,,4.0,3.0,5.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 04 2020 13:13:27 GMT-0500 (Eastern Standard Time), Corporate Sales Director,"New York, NY",Current Employee ,Equity Research Associate,I have been working at Susquehanna International Group (SIG) full-time for less than a year,1,SIG had a great culture.,Lack of breadth / high turnover,,4.0,5.0,5.0,5.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 17 2020 06:13:47 GMT-0500 (Eastern Standard Time), Intern,"Philadelphia, PA",Current Employee ,good exp overall lot of learninh,I have been working at Susquehanna International Group (SIG) part-time for less than a year,0,very good exp for me,it was a lot of work,,4.0,5.0,5.0,5.0,5.0,5.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Fri Jan 17 2020 18:48:24 GMT-0500 (Eastern Standard Time), Trader,,Current Employee ,Good training,I have been working at Susquehanna International Group (SIG) full-time for more than 3 years,0,Training program is second to none. Risk taking culture.,Stressful. Hard to advance within company.,,3.0,5.0,4.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 09 2020 18:53:43 GMT-0500 (Eastern Standard Time), Trader,"Philadelphia, PA",Former Employee ,Its ok,I worked at Susquehanna International Group (SIG) full-time,1,"Free lunch, gym onsite, played poker, some of my coworkers are very nice and helpful! No trading after 4pm. Philly rent is cheap?","3 years of non-compete + skills not transferrable outside of trading = poor career development choice if you decide to leave, and I find there to be plenty of reasons to leave.
Some desks have toxic work environment and exclusive culture. People trash talk their peers behind their back and don't treat you with respect. Management not willing to listen to feedbacks from employees.",,2.0,,,,,,Doesn't Recommend,Positive Outlook,Approves of CEO
Sat Dec 14 2019 09:25:22 GMT-0500 (Eastern Standard Time), Software Engineer,"Bala Cynwyd, PA",Former Employee ,No real upside that you may expect for an HFT,I worked at Susquehanna International Group (SIG) full-time for more than 5 years,4,Hours are OK. Big player in the market so you learn some about the industry. Don't run into the typical wall street traders here yelling at you. Outside of city limits so you save wage tax (both pro and a con since you have to commute or miss out on the philly center city life).,"Compensation is very poor. HR tells you that they try to stay competitive with Comcast! Don't expect the upside of working for HFT firms here (SIG's glassdoor numbers are fairly accurate as opposed to most tech firms where glassdoor numbers under report salaries, check levels.fyi website for a comparison). Employees constantly talk about it. Raises are very low. Flat hierarchy also limits career growth opportunities, so you lose out on both variables (comp or growth). High attrition lately because they are not staying competitive. This has also lead to problems with some questionable hires as they try to fill up vacancies. I can only see two kinds of people working here, if you have a family and want to live in a good school district and your spouse also has a good job so that you can make ends meet. You are a mediocre student at one of the local schools who can't crack the FANG interviews or get hired at one of SIG's competitors. For everyone else this is not the place to achieve your american dream.",,1.0,4.0,3.0,1.0,1.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Tue Nov 05 2019 13:33:05 GMT-0500 (Eastern Standard Time), Technical Analyst,"Bala-Cynwyd, PA",Former Employee ,SIG provided a comfortable work environment and great leadership.,I worked at Susquehanna International Group (SIG) full-time for less than a year,1,0. Manager open to ideas for improvement 1. Breakfast and lunch provided 2. Gym in building,0. This was a co-op work experience. I wish that there was a greater variety of non-software-based co-op positions available as I would return in a heartbeat in a different position.,,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Nov 13 2019 11:44:45 GMT-0500 (Eastern Standard Time), Campus Recruiting Coordinator,"Bala Cynwyd, PA",Current Employee ,kind of a cult,I have been working at Susquehanna International Group (SIG) full-time for more than a year,2,they do a lot of events and things for employees during they day because they dont let you leave the office during working hours. very casual dress code,people are very political.,,3.0,,,,,,Doesn't Recommend,,
