date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Oct 23 2016 16:01:09 GMT-0400 (Eastern Daylight Time),,,Software Developer Intern ,Software Development Intern,I worked at TransMarket Group,0,"Really intelligent people, cool culture, free breakfast, lunch, and dinner, free cereal and soda,",There aren't really any cons.,,5.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jun 13 2018 16:51:32 GMT-0400 (Eastern Daylight Time), Trader,,Former Employee ,Political Culture; Sexist; Hierarchical,I worked at TransMarket Group full-time for more than 3 years,16,Good training for new hires,"The firm's either great or awful, depending on which team you end up on. The lucky people who joined early are now managers of the desks, some are great while others have no clue about management, barely shows up to work, and only promote those with glib tongues. The firm also hires high numbers of internationals in need of EB5 and significantly under pay them knowing they are less likely to leave. Very low base salaries compared to the industry. Bonuses are good for those who joined the firm early, but any later joiners are churned after they burn out on overnight shifts. Also, the firm has catered meals so employees work longer, and ""unlimited vacation policy"" so everyone feels pressured to take none.",,2.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Sun Apr 01 2018 23:07:22 GMT-0400 (Eastern Daylight Time),,,Former Employee ,"Good company, collaborative culture",I worked at TransMarket Group full-time,1,Good company and great collaborative culture,None that I can think of.,,4.0,4.0,4.0,4.0,4.0,4.0,,,
Thu Nov 30 2017 09:02:50 GMT-0500 (Eastern Standard Time), Trader,"Chicago, IL",Former Employee ,Unprofessional organization,I worked at TransMarket Group full-time for less than a year,12,Quiet work environment. They order in decent lunches and breakfast for employees. Nice coffee machine. Location across from Union Station is convenient.,"Almost no women are employed here. 90% men. Lots of people drink on the job. They dress very casual for an office environment, like they are at home doing laundry. They are disorganized and gossipy, but that is most likely because most employees are recent graduates with no prior professional experience or immigrants trying to stay in the country on work visas. These people have no sense of urgency, and then when things aren’t completed “on time” they blame others and pass the buck. They have high employee turn-over. I guess if you want to spend your life staring at a computer all day and drinking, this could be the job for you. If you’re a professional and seek a professional work environment, this place is not for you. Very immature, lack of standard employee policy and training. Poor internal communications. They have a very depressing work culture overall. No one seems happy at this company.",,2.0,3.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Nov 07 2017 14:21:50 GMT-0500 (Eastern Standard Time),,,Former Employee ,Trader,I worked at TransMarket Group full-time,0,"- Great technology
- Market access",- Monthly expenses above market,,4.0,4.0,4.0,4.0,,,Recommends,Positive Outlook,
Thu Apr 06 2017 21:23:33 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Former Employee ,trader,I worked at TransMarket Group full-time,1,"solid company, smart people, mobility",none I can think of,,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Sun Feb 14 2016 11:45:53 GMT-0500 (Eastern Standard Time), Algorithmic Trader,"Chicago, IL",Current Employee ,Pathetic compensation,I have been working at TransMarket Group full-time,18,"Free lunch is nice, some smart people, annual ski trip benefit.","If you are a STL (Algo Trader) be prepared for sub par payout and to be out compensated by ""RV"" traders. RV traders are the jock old school type of traders who actually just turn on the trade and do nothing else. Also you only get paid 50% of your bonus. I think this is the case for everyone at transmarket. If you are a competent programmer, I would never come here of you can avoid it. Seriously. You'll be out earned by all of your classmates who went to real trading firms.",,2.0,2.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Sun Jan 03 2016 03:08:07 GMT-0500 (Eastern Standard Time),,, ,Intern,I worked at TransMarket Group,5,"good training, company outings, great culture",not a lot of guidance sometimes,,5.0,5.0,5.0,5.0,5.0,5.0,,,
Tue Dec 15 2015 14:06:54 GMT-0500 (Eastern Standard Time),,"Chicago, IL","Trader in Chicago, IL",World Class Trading Firm,I have been working at TransMarket Group,5,"Excellent relative value trading firm built for the long run. Our CEO Doug Adams does a tremendous job managing risk and treats all employees fairly. The people and the culture are the key behind TransMarket Group's success. Individuals are creative, ambitious, and always strive to do things better. A select few are truly world class in their discipline. Our firm has an entrepreneurial, team-oriented culture and is highly meritocratic. Training program is one of the absolute best on the street.","If you're interested in job titles, this is not the place for you. TransMarket Group doesn't have the same name recognition as a major investment bank. Management doesn't spend money on expensive office space (would rather allocate the money to employees in year end bonuses).",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Nov 30 2015 13:26:05 GMT-0500 (Eastern Standard Time),,"Chicago, IL","Trader in Chicago, IL",trader,I worked at TransMarket Group,0,good place to learn. very comfortable and convenient. good place to start. tasty food by the way. hope i can stay there longer so that i can learn more and be more proficient,no cons at present. it gives me enough time and knowledge. hope i can stay there longer so that i can learn more and be more proficient,,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Nov 04 2015 16:09:22 GMT-0500 (Eastern Standard Time),,,Former Employee ,RV Trader,I worked at TransMarket Group full-time for less than a year,15,Get to walk around on a carpet that looks and feels like dirt while eat food (which is actually ok if you like carbs).,"Does not value teamwork or you as much as they will claim during your interviews. They are also extremely arrogant in their strategy. It is an extremely simple strategy that will one day stop working with no one smart enough there to implement a new one, assuming it does not blow them up. Pay is way better at other firms, do not let them fool you into thinking this is the best place in the world to work for.",,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Sep 11 2015 17:15:43 GMT-0400 (Eastern Daylight Time),,, ,Review of TMG,I worked at TransMarket Group,1,"Casual environment, no dress code. Catered lunch daily. Energetic atmosphere.",Lack of direction. Poor communication from management. Long work day.,,4.0,2.0,5.0,1.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Thu Sep 10 2015 11:17:31 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Former Employee ,Still trudging along,I worked at TransMarket Group full-time for more than a year,5,Casual work environment. Access to good trading programs.,Little training and possibly unrealistic expectations to advance.,,2.0,1.0,2.0,3.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Wed Jul 08 2015 07:30:48 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","Senior Trader in Chicago, IL",Built for the long term,I have been working at TransMarket Group,1,"Great place for self-starters - meritocratic, merits based, mutual respect, a place where work gets done Value add work/projects combined with self drive form the basis for most growth opportunities Get out what you put in - there's a lot expected of you; those who take up the challenge are typically well compensated Good outlook for the future - diversified approach, grow with success, constantly looking to improve, innovate","Lack of ""polish"", aesthetics can discount the ""prestige"" element some candidates may take into consideration Mentoring can improve and therefore should",,4.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jun 03 2015 13:20:34 GMT-0400 (Eastern Daylight Time),,, ,awesome,I have been working at TransMarket Group,0,opportunities comp freedom to explore and research collaborative environment,fast growth can be challenging,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Mar 29 2015 23:43:38 GMT-0400 (Eastern Daylight Time),,, ,Good place to work!,I have been working at TransMarket Group,0,"Good culture. The whole team cares about me. Very fast response during my application. Upon hiring me, several people from the company I met sent me congratulation emails to me. TMG is also very flexible and accommodating. They kind of know what a newly hired person needs and take cares of me before I even ask.",Not observed so far. I do not have any cons to share.,,5.0,4.0,5.0,4.0,,,Recommends,Positive Outlook,
Mon Dec 22 2014 14:15:54 GMT-0500 (Eastern Standard Time), Junior Trader,"Chicago, IL",Former Employee ,"Good experience overall, although can understand some negative opinions",I worked at TransMarket Group full-time for more than 3 years,1,"great work environment 2 meals on the company/day challenging, team based environment","payout of accumulated PnL can be difficult, consult recent employees candidly to get more insight. I left at the time when Management was changing",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sun Dec 07 2014 08:16:03 GMT-0500 (Eastern Standard Time), Trade Logic Developer/Algorithmic Trader,"Chicago, IL",Current Employee ,Great culture and lots of learning opportunities,I have been working at TransMarket Group full-time for less than a year,4,"- Casual and laid back like a start up, but at the same time has a very motivating environment - Flat structure with no hierarchy, very easy to talk to people to seek help and collaborate and share ideas - Fast growing firm with lots of learning opportunities; you work hard and you will get rewarded - Put many effort and patience in training new employees",- Nothing to complain about,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Nov 03 2014 06:47:14 GMT-0500 (Eastern Standard Time), Quant Developer,"Chicago, IL",Former Employee ,Nice place for starter to learn.,I worked at TransMarket Group full-time for more than a year,1,Very good company to start with for fresh student. You can learn and grow in a relatively rushed environment.,Too many changes. Hard to keep consistent career growth.,,3.0,3.0,2.0,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Aug 13 2014 12:16:36 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Junior Trader,I worked at TransMarket Group full-time,4,At least gave us a chance to make money which we did.,Lack of freedom to expand group.,,2.0,4.0,2.0,2.0,3.0,1.0,Doesn't Recommend,,Disapproves of CEO
Thu Aug 28 2014 10:25:51 GMT-0400 (Eastern Daylight Time), Trade Logic Developer,,Former Employee ,Going downhill fast,I worked at TransMarket Group full-time for more than 3 years,13,"Firm used to be great when Ray Cahnman was CEO. Since Doug Adams took over, the firm has gone downhill fast.","Some of the best people left, and Doug has been cheating traders out of money. The CEO is a liar and when traders perform well, he pays them less than their contract says. He gets sued and rumor has it, uses firm money to defend himself until the traders give up.",,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
