date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Nov 21 2019 17:26:24 GMT-0500 (Eastern Standard Time), Software Engineer,"New York, NY",Current Employee ,Awesome place with awesome people,I have been working at Tower Research Capital LLC full-time for more than a year,1,Ignore the 1 star reviews. They are probably coming from the same disgruntled employee and do not reflect Tower accurately This is my honest review: - What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find elsewhere. - The company has transformed but the talented people working on cutting edge tech are still around - Flexible - Pay is really good,"- Clearly some teams can be worse than others, you won't know until you join - Sometimes working across teams can be a bit difficult",,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Apr 24 2020 13:15:43 GMT-0400 (Eastern Daylight Time), Software Developer,"New York, NY",Former Employee ,A Has Been Place Place-Falling Apart,I worked at Tower Research Capital LLC full-time for more than 3 years,1,Great Benefits Nice People Excellent Work Life Balance,"Terrible Management, they can not get their act together Very disorganized organization The Main Office feels old and cramped Lack of Opportunity Trading Teams are in complete silos",,1.0,4.0,3.0,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Jan 09 2020 23:23:10 GMT-0500 (Eastern Standard Time), Senior Software Developer,"New York, NY",Former Employee ,A formerly wonderful place that became a poorly run circus,I worked at Tower Research Capital LLC full-time for more than 3 years,6,Was a great place to work. Excellent environment and potential for growth.,Poor management philosophy after the profits became thinner and the trading teams placed pressure on some of the less properly run groups.,,2.0,3.0,1.0,3.0,4.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Mon Dec 02 2019 05:11:20 GMT-0500 (Eastern Standard Time),,"New York, NY","Engineer in New York, NY",Disappointing experience,I worked at Tower Research Capital LLC,9,- Good work life balance - Good pay - Good people to work with,- Terrible management - Far too much politics for a buy side firm - Managers continuously play the blame game with each other and engineers become cannon fodder - Layoffs of people within a few months of hiring them is an example of the dysfunction of this place,,2.0,5.0,3.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Oct 07 2019 15:15:15 GMT-0400 (Eastern Daylight Time), Core Engineering,,Former Employee ,Please make sure you know what you are getting into,I worked at Tower Research Capital LLC full-time,26,The company genuinely seemed to care about it's employees when MG was around. Free food / snacks / events / parties. People are mostly smart and nice. They wanted to get work done.,"Tower doesn't seem to know how to make money in low volatility environment. It's been loosing money and bad management doesn't help. They laid off 80 people so I would be careful before joining tower. Some divisions seems to filled with ethnic ghettos, especially SEFO teams. All decisions are made in French and Americans are discriminated against.",,3.0,1.0,1.0,4.0,4.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Mon Oct 28 2019 19:54:06 GMT-0400 (Eastern Daylight Time),,"New York, NY",Former Employee ,Leaning Tower of Cheeza,I worked at Tower Research Capital LLC full-time for more than 8 years,2,"- The perks are amazing. I keep coming back for the fizzy water and the donut slices! - Lots of changes means lots of opportunities. - Goals and vision are crystal clear (volatility-good, no volatility-find scapegoat)","The Roman Empire lost the strengths that had allowed it to exercise effective control over its Western provinces; modern historians posit factors including the effectiveness and numbers of the army, the health and numbers of the Roman population, the strength of the economy, the competence of the Emperors, the internal struggles for power, the religious changes of the period, and the efficiency of the civil administration. Increasing pressure from invading barbarians outside Roman culture also contributed greatly to the collapse. Climate change has been suggested as a driver of the changes in some of these factors. The reasons for the collapse are major subjects of the historiography of the ancient world and they inform much modern discourse on state failure.",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Oct 29 2019 18:04:37 GMT-0400 (Eastern Daylight Time),,"New York, NY",Current Employee ,Great place to work,I have been working at Tower Research Capital LLC full-time for less than a year,1,"1. The core dev team is super smart and savvy. Infrastructure upgrades and IT requests are done way way faster than in any modern bank 2. Great benefits, including lot of snacks which really boosts your energy later in the day 3. Very knowledgeable and amazing HR team, who are very eager to help and make you acclimatized even before your first day at work 4. Well established business practices, including the speed at which business travel, expenses etc get done 5. Gym expense reimbursement","1. They had a great buffet lunch and breakfast, which recently got changed to seamless. I prefer the buffet lunch to be honest. Still, its a great benefit 2. 401k Match is good at 3%, though in other places, it is at 6%",,5.0,5.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Nov 25 2019 05:53:10 GMT-0500 (Eastern Standard Time),,, ,Fake reviews,I have been working at Tower Research Capital LLC,12,"Don't fall for the fake reviews being posted below, any one with an ounce of brain would know they are being written by HR.",The middle management are a bunch of bean counters.,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sat Nov 02 2019 07:59:58 GMT-0400 (Eastern Daylight Time), Core Engineering,"New York, NY",Current Employee ,Power Plays and Production Delays,I have been working at Tower Research Capital LLC full-time for more than 3 years,14,- $14.11 Seamless allocation (use it or lose it) - 25 days PTO plan - Very smart people,"- Everyone at manager level sheds blame, steals glory, and has a political agenda - Teams and individuals don't communicate at all leading to confusion on what is happening and what changes need to be made - Historically low volatility causing massive panic - Layoffs causing even more panic (with a hiring freeze)",,1.0,3.0,2.0,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sat Oct 26 2019 19:44:31 GMT-0400 (Eastern Daylight Time),,"New York, NY",Former Employee ,Past its heyday,I worked at Tower Research Capital LLC full-time for more than 3 years,16,"Lots of great, friendly and knowledgeable people around. Cool office space.",Poor management of core engineering finally created an implosion. Core engineering is on shaky grounds with the trading teams. Developers became pawns of office politics. The perks are getting worse and worse every few months. Medical insurance has become insufficient. Recent layoffs in all regions were massive and contributed to already low morale. Engineering culture has taken a dive because delivery has become more important than quality or Tower's long term path.,,1.0,2.0,2.0,1.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Tue Oct 22 2019 14:45:34 GMT-0400 (Eastern Daylight Time), Systems Engineer,"New York, NY",Current Employee ,falling apart fast,I have been working at Tower Research Capital LLC full-time for more than 3 years,11,- smart people - decent pay - good location in lower Manhattan - flexible hours,"Tower is falling apart. 70-100 people have been let go or resigned since July. Everyone still here is worried about the future, and many of us are actively looking for new jobs. Teams are siloed, and have been for years. Simple requests to other teams can take months to resolve. Many of the trade teams are unwilling to change how they do things, which forces engineering to support broken, legacy systems, preventing any movement forward. There have been three (at least) reorgs in my time here, all of them left unfinished, leaving big gaps to be filled by people who are good at office politics.",,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Sep 25 2019 07:40:15 GMT-0400 (Eastern Daylight Time), Employee,"New York, NY",Former Employee ,"Tower has grown too much, too quickly",I worked at Tower Research Capital LLC full-time for less than a year,18,are not available at this time.,Management changes have resulted in disruptive layoffs detrimental to the firm and its employees,,1.0,5.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sun Aug 04 2019 16:40:27 GMT-0400 (Eastern Daylight Time), Trader,,Current Employee ,Great place to work,I have been working at Tower Research Capital LLC full-time for more than 5 years,1,The opportunity to work with extremely talented people.,"I wouldn't say it's a con, but there are some management changes taking place.",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Aug 01 2019 12:03:58 GMT-0400 (Eastern Daylight Time), Intern,,Former Employee ,"good work, team, culture",I worked at Tower Research Capital LLC full-time,0,"good team, great salary, free meals","more working hours
less entertainment stuff",,4.0,,,,,,,,
Thu Jan 03 2019 08:56:42 GMT-0500 (Eastern Standard Time),,,Current Employee ,Great place to work.,I have been working at Tower Research Capital LLC full-time,0,Fast pace environment as the financial markets keep changing so work never gets dull. Surrounded by driven and smart people.,Same as the pro: Fast pace environment as the financial markets keep changing.,,4.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Sep 21 2018 13:01:46 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Ossified structure; ever-diminishing perks,I have been working at Tower Research Capital LLC full-time,27,"Compensation, and if you're lucky enough to be in the Lafayette building then a nice environment.","No career path or internal educational opportunities: company prefers to expend you in your hired role and hire someone else.

Huge cost-saving cuts: health insurance in particular has been converted into one of those ""consumer driven"" plans, i.e. it covers almost nothing in the hope that consumers will be driven never to be unwell.",,1.0,4.0,1.0,1.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Sat Sep 01 2018 19:21:15 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Overall,I have been working at Tower Research Capital LLC full-time,0,"Good food, very intelligent people and hard working",lack of co-working and communication,,4.0,4.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jun 27 2018 08:12:19 GMT-0400 (Eastern Daylight Time), Quant,"New York, NY",Current Employee ,Great company,I have been working at Tower Research Capital LLC full-time for more than 3 years,1,Company truly cares about their employees.,Communication across groups can be improved.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jun 28 2018 06:41:55 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Overall Good Company,I have been working at Tower Research Capital LLC full-time,0,"Good Pay, good perks, free food",Too much cost assigned to trading teams,,4.0,2.0,3.0,4.0,5.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Jun 13 2018 08:41:59 GMT-0400 (Eastern Daylight Time),,,Current Employee ,"Great colleagues, fun company",I have been working at Tower Research Capital LLC full-time for more than 8 years,0,Working with the best engineering talent Great culture No hierarchy or bureaucracy Great for fresh college grads,Lack of hierarchy means not much growth for senior employees,,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Apr 21 2018 19:39:25 GMT-0400 (Eastern Daylight Time), Software Engineer,"New York, NY",Current Employee ,Great work environment but very siloed,I have been working at Tower Research Capital LLC full-time for more than 3 years,10,You are surrounded with a very smart group of people who are very eager to help out. Collaboration is something that is built into Tower's culture. Some of the times you get to work on interesting problems. Even though management lacks in experience they are receptive to feedback. They mostly listen and try to help you out with future goals.,"The worst thing about this place is it's siloed nature. This is true mostly for core engineering. It's almost impossible to get a view of why you are doing some stuff. With time it has increasingly become ""my way or the highway"" sort of management. As the firm is growing so is the bureaucracy. It's very hard to get things done without getting permission from 100 different people. There is no way to grow up in the job. You just make more money and sit tight in hope that your superior resigns and they can't find someone external to replace them.",,4.0,5.0,4.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 13 2018 21:18:01 GMT-0500 (Eastern Standard Time), Front End Developer,"New York, NY",Current Employee ,"If you like partaking in challenges with smart people, this is the place for you",I have been working at Tower Research Capital LLC full-time for less than a year,0,Very progressive and fast-paced environment. The people who work here are both friendly and friggin' geniuses,The teams are quite siloed,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 26 2017 18:01:49 GMT-0500 (Eastern Standard Time), Quantitative Analyst,"New York, NY",Current Employee ,Great place to work,I have been working at Tower Research Capital LLC full-time for more than 3 years,0,Very high level of competence across the firm. For most parts a positive place to work. Free food and drink.,Continuous pressure. Long working hours.,,5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Oct 10 2017 09:18:25 GMT-0400 (Eastern Daylight Time),,,Current Employee ,trader,I have been working at Tower Research Capital LLC full-time,3,"flexible working hours, less politics",very stressful when trading performance is not good,,3.0,,,,,,,,
Tue Aug 29 2017 04:43:04 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Legal,I worked at Tower Research Capital LLC part-time,0,Awesome group of people to work with. Substance of the work is interesting. Communication throughout the team and with other business teams is great.,Not a lot of cons as long as you are a diligent worker and can keep organized as there is a high volume of work.,,4.0,5.0,5.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Aug 22 2017 11:43:59 GMT-0400 (Eastern Daylight Time), Engineer,"New York, NY",Current Employee ,Awesome Company to work,I have been working at Tower Research Capital LLC full-time for less than a year,0,"Vacations, Career growth, parties, food",Not any that I know of,,5.0,5.0,5.0,5.0,5.0,4.0,Positive Outlook,,Approves of CEO
Sat Aug 19 2017 10:38:40 GMT-0400 (Eastern Daylight Time),,"New York, NY",Current Employee ,Poor management,I have been working at Tower Research Capital LLC full-time for more than a year,8,less stressful than similar firms decent pay,insular and complacent culture technical debt like you've never seen turf wars,,3.0,3.0,2.0,2.0,4.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri May 19 2017 20:32:42 GMT-0400 (Eastern Daylight Time), Business Management,,Current Employee ,"Stimulating, challenging & educational work environment",I have been working at Tower Research Capital LLC full-time for more than a year,3,"* Laid-back tech culture where developers are highly valued * Coworkers are friendly, helpful and generally very intelligent * Work is challenging and varied * Benefits: free breakfast/lunch, free gym, tons of snacks/drinks, frequent Tower events * Competitive pay * Modern decor and office environment * Strong work-life balance: most people leave by 6pm at least on the operations side (not necessarily true for trading teams) - it is rare to see anyone after 7pm","* Some politics and poor management, but not more than you'd find at any other firm. * Pods can be a little loud due to the office layout and this can frustrate some people (especially those who are more makers than managers) * Recent product management reorg has rubbed many staff who have been here longer the wrong way. Some people have left as a result; remains to be seen if the reorg is net positive * Snack choices should be healthier",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon May 01 2017 10:52:10 GMT-0400 (Eastern Daylight Time), Manager,"New York, NY",Current Employee ,Great environment to work in and brilliant colleagues!,I have been working at Tower Research Capital LLC full-time for less than a year,8,I get to work with a great team of very smart and driven individuals. There is a lot of opportunity to work on projects that really interest you. I also get a sense of pride from working for a leader in the HFT world. Side note: you can't beat Tower's rooftop and awesome parties!,Lots of snacks and celebrations with food and drinks makes staying in shape tough!,,5.0,5.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue May 02 2017 08:48:04 GMT-0400 (Eastern Daylight Time), Software Developer,"New York, NY",Current Employee ,"Interesting work, great people and environment",I have been working at Tower Research Capital LLC full-time for more than a year,3,Very laid back culture with abundant food and monthly activities. Extremely smart and talented coworkers who are eager to help. Very easy to communicate with others. Challenging problems that constantly evolve; feels very rewarding tackling and solving them.,"Went through two reorgs in the past year and lost a few good people in the process. Fortunately, things look to have now stabilized.",,5.0,5.0,5.0,,,,Recommends,Positive Outlook,Approves of CEO
Mon May 08 2017 19:18:28 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Good place to work,I have been working at Tower Research Capital LLC full-time,0,"good benefits , nice office, great colleagues",Nothing to mention so far,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon May 01 2017 10:41:08 GMT-0400 (Eastern Daylight Time),,"New York, NY",Current Employee ,Great place to work,I have been working at Tower Research Capital LLC full-time for more than a year,2,"My colleagues are smart, supportive and professional. The company provides lots of perks such as free lunch and breakfast, tickets to events in the city and hosts many social events.",Can be somewhat disorganized and sometimes seems to be run as a small company even though there are over 700 employees.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
