date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Apr 03 2020 14:08:57 GMT-0400 (Eastern Daylight Time), Software Engineer(),"New York, NY",Current Employee ,Overall a great place to be,I have been working at Two Sigma full-time for more than a year,0,Good wlb People are friendly Compensations seems fair,Growing pains lead to bad software stack in many cases Compensation not as competitive as other firms in the industry if not adjusting for wlb,,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Mar 15 2020 10:51:08 GMT-0400 (Eastern Daylight Time),,"New York, NY",Former Employee ,Some policies are strange,I worked at Two Sigma full-time for more than 3 years,1,"Smart people, relatively decent compensation (even if not top), good place to start and learn, then move on.","Strange policies regarding sharing of information among groups. Successful groups' IP is leaked to others, creating awkward situations, management is sometimes too disengaged.",,3.0,3.0,2.0,4.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 15 2020 13:51:23 GMT-0500 (Eastern Standard Time), Vice President Operations,"New York, NY",Current Employee ,Still the best hedge fund to work at... for now,I have been working at Two Sigma full-time for more than 5 years,2,Excellent benefits and culture; competitive compensation packages,Growing pains injecting previously unseen layers of bureaucracy into the company. Performance has been lagging recently.,,4.0,5.0,5.0,4.0,5.0,3.0,Recommends,Negative Outlook,No opinion of CEO
Mon Jan 06 2020 07:57:22 GMT-0500 (Eastern Standard Time), Vice President,"New York, NY",Current Employee ,Incredible place to work - best in finance and on par with Google/FB,I have been working at Two Sigma full-time for more than a year,2,"Culture: do great work, work with incredibly intelligent and talented people, and importantly, no wall street culture. By that I mean people do not have the delusion that overwork or self-sacrifice is a heroic quality, or source of success for the firm. Hiring the smartest people, and setting very high expectations for them is much more important. You're not expected to work 100 hours per week, but you are expected to have the most intelligent work product in the industry.",Small-ish company - you have to be comfortable being patient when looking for career growth opportunities,,5.0,5.0,5.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 06 2020 14:39:11 GMT-0500 (Eastern Standard Time), Vice President,"New York, NY",Current Employee ,A very positive place to work,I have been working at Two Sigma full-time for more than a year,0,"Work-life balance is excellent; you're surrounded by smart people who are willing to teach you; excellent benefits; commitment to learning with speaker series, reimbursement for conferences, tuition, etc.",Transitioning from a small company to a medium-sized company has resulted in some growing pains,,5.0,5.0,5.0,3.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 17 2020 03:17:51 GMT-0500 (Eastern Standard Time), Consulting Hardware Engineer,"New York, NY",Current Employee ,Software Engineer Salary,I have been working at Two Sigma full-time for more than a year,1,Great perks and employee benefits.,Super competitive environment. Might got under review performance if not catching up with expectation.,,4.0,2.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 12 2019 04:21:26 GMT-0500 (Eastern Standard Time), Engineering Manager,"New York, NY",Current Employee ,Great place to work!,I have been working at Two Sigma full-time for more than a year,4,"Very collaborative, people genuinely care about you - will stop doing what they are doing to help! Culture focuses on respecting one another and being nice. Very tolerant and accepting company Work is a mix of figuring out how to scale or adjust to growth while keeping the lights on AND building for the future. Managers care and give you the ability to try, fail and try again.",I would say it’s an overall good place to work.,,5.0,5.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Nov 14 2019 15:19:01 GMT-0500 (Eastern Standard Time), Vice President,"New York, NY",Current Employee ,Great opportunities,I have been working at Two Sigma full-time for more than 5 years,0,"Collaborative environment, lots of interest in launching new businesses and growing current ones. Very motivated and intelligent people.",I don't have any cons,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Oct 30 2019 19:56:09 GMT-0400 (Eastern Daylight Time), Quant,"New York, NY",Current Employee ,"pays well, bad culture",I have been working at Two Sigma full-time for less than a year,11,"- pays quite well - good work-life balance - depending on team, might work on something very interesting","- extremely secretive culture which makes for both awkward interactions with colleagues (people on your own team won't say hi to you in the hallway) and actually makes your job harder (lots of things don't just lack documentation - they CAN'T be documented, people get thrown out of meetings half way through to preserve secrecy, no one casually talks about what they're working on) - can't interact with open source community or speak at conferences about your work very easily",,3.0,5.0,1.0,3.0,5.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Tue Oct 08 2019 12:15:24 GMT-0400 (Eastern Daylight Time), Product Specialist,"New York, NY",Current Employee ,Great firm with interesting work and flat organization,I have been working at Two Sigma full-time for more than a year,1,"- Very flat structure. Everyone is approachable. - Interesting work. - Senior management comes from a place of trust, meaning they trust business and project owners to do what's best. And that culture permeates the organization. I feel like my manager has trust and confidence in me. - Certainly a tech firm in the finance / investment management world. This means casual dress code, great benefits, work-life balance, and workplace perks. - From what I've seen, internal mobility happens often and is encouraged. - Employees are empowered and encouraged to take on additional work / solve problems that aren't currently being worked on.",- Different business units can be compartmentalized so can be difficult to meet others throughout the organization.,,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,
